date,tc=0_tv=0.1,tc=0.001_tv=0.1,tc=0.0025_tv=0.1,tc=0.005_tv=0.1,tc=0_tv=0.15,tc=0.001_tv=0.15,tc=0.0025_tv=0.15,tc=0.005_tv=0.15,tc=0_tv=0.2,tc=0.001_tv=0.2,tc=0.0025_tv=0.2,tc=0.005_tv=0.2,tc=0_tv=0.25,tc=0.001_tv=0.25,tc=0.0025_tv=0.25,tc=0.005_tv=0.25,tc=0_tv=inf,tc=0.001_tv=inf,tc=0.0025_tv=inf,tc=0.005_tv=inf
2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,-0.0028296743303025673,-0.0028555482944687682,-0.002894359240718125,-0.002959044151133572,-0.0042445114954539065,-0.004283322441703152,-0.004341538861077132,-0.004438566226700469,-0.005659348660605135,-0.0057110965889376475,-0.00578871848143625,-0.005918088302267255,-0.006065186889260277,-0.0060854956723285225,-0.006115958846931058,-0.006166730804601839,-0.006065186889260277,-0.0060854956723285225,-0.006115958846931058,-0.006166730804601839
2016-01-06,-0.007496008028735179,-0.0075459536746118605,-0.007620869789344842,-0.007745723703014296,-0.011234080787371092,-0.011308856485736762,-0.011421014736600732,-0.01160793103021529,-0.01496553270885248,-0.01506504327940772,-0.015214299718912527,-0.01546303534121185,-0.01554461012726216,-0.015578793747516695,-0.015630068099908523,-0.01571552247925445,-0.01554461012726216,-0.015578793747516695,-0.015630068099908523,-0.01571552247925445
2016-01-07,-0.02284036906306397,-0.022993443116767542,-0.023223032272108757,-0.02360562240039188,-0.03416393502307735,-0.03439223660424873,-0.03473463976998592,-0.03530518050791931,-0.045423293321689706,-0.04572595377996924,-0.046179857213509146,-0.04693613028535204,-0.05359442918742452,-0.05366505049022097,-0.05377097649133533,-0.05394750395219672,-0.05497739193099027,-0.0550217203976997,-0.05508821056365265,-0.05519902074944527
2016-01-08,-0.025546242137894914,-0.025719888319850837,-0.02598032339352596,-0.026414290661185502,-0.03817571015200261,-0.03843419001186288,-0.038821833206423184,-0.03946770097560237,-0.05070996978003861,-0.05105196899944431,-0.05156483228566222,-0.05241924305779,-0.060026250248324864,-0.06012967755282783,-0.06028480328247898,-0.060543305562961613,-0.06139981430577268,-0.061452390924122136,-0.06153125183088204,-0.061662675953915946
2016-01-11,-0.022275359003749884,-0.022454507872086804,-0.022723193572742995,-0.02317090281413181,-0.03333297417460168,-0.03360003889218299,-0.03400055164711813,-0.03466784808826806,-0.04433713428280406,-0.04469101323482383,-0.04522168226100498,-0.04610573232794268,-0.05221531768077958,-0.05233174020268405,-0.0525063536243805,-0.05279732170343554,-0.05360029569125824,-0.05366542789219564,-0.0537631195937629,-0.05392592149797226
2016-01-12,-0.0173984054337184,-0.017588706266416843,-0.017874112677087828,-0.018349670476416446,-0.02610027796604486,-0.02638455298332465,-0.02681086479573469,-0.02752111597180895,-0.03480331825878147,-0.03518077756979188,-0.03574678779981422,-0.036689661690180286,-0.04039628986803101,-0.04053012368872044,-0.040730846453113534,-0.0410653098266931,-0.04160333921774684,-0.041679098113824975,-0.04179272724499328,-0.04198208456450414
2016-01-13,-0.029713177164633287,-0.029941626900466756,-0.030284227788396456,-0.030855032734420806,-0.04440884702186354,-0.04474803438128505,-0.04525665063976814,-0.04610390512892326,-0.058996596341799656,-0.059444210526860775,-0.06011534078128966,-0.06123311547436339,-0.07046264816564385,-0.07069125708680879,-0.07103409161727026,-0.07160527228003521,-0.07570395771036909,-0.07578530804987194,-0.07590732221748253,-0.07611064892219843
2016-01-14,-0.02327085035280585,-0.02352235849494655,-0.023899527482987182,-0.024527893926361122,-0.03489171709529215,-0.03526610174879685,-0.03582746995260866,-0.036762527103078146,-0.04650080372721366,-0.04699613476065212,-0.047738761905858684,-0.048975489242114256,-0.05503323269955929,-0.05531722801344641,-0.05574309324194493,-0.056452528084477316,-0.057109027748355023,-0.057203779751564765,-0.057345892303526824,-0.05758270535425947
2016-01-15,-0.032492062387195375,-0.03274893706931603,-0.03313414927245928,-0.033775903497273885,-0.048558967810637954,-0.04893952252756595,-0.04951013209469268,-0.05046055492921664,-0.06450460399595193,-0.06500569211366225,-0.06575693242450975,-0.0670079552099263,-0.0773365982996248,-0.07763261305941815,-0.0780764893715512,-0.07881589449073945,-0.08474431900544666,-0.08484191509767003,-0.08498829211778614,-0.085232208175544
